,0,1,2,3,4,5,6,7,8
0,0,0,3,0,5,3,0,3,3
1,0,0,3,0,5,3,0,3,3
2,0,0,3,0,5,3,3,3,5
3,0,0,3,0,5,3,3,3,5
4,0,0,1,3,0,4,0,4,5
5,0,0,3,0,5,3,3,3,5
6,0,0,3,0,5,3,3,3,3
7,0,0,3,0,5,3,0,4,5
8,0,0,3,0,5,3,3,3,3
9,0,0,3,0,5,3,3,3,3
10,0,0,3,0,5,3,3,3,5
11,0,0,3,0,5,3,3,4,5
12,0,0,3,0,5,3,3,3,5
13,0,0,3,0,5,3,3,3,5
14,0,0,3,0,5,3,3,3,5
15,0,0,3,0,0,3,3,4,5
16,0,0,3,0,0,3,3,4,5
17,0,0,3,0,0,3,3,4,5
18,0,0,3,0,5,3,3,3,5
19,0,0,3,0,5,3,0,3,3
20,0,0,3,0,5,3,0,3,3
21,0,0,1,3,3,4,0,0,7
22,0,0,3,0,5,3,0,3,3
23,0,0,3,0,5,3,0,4,3
24,0,0,3,0,5,3,0,4,3
25,0,0,1,3,0,4,5,4,5
26,0,0,3,0,5,3,3,4,5
27,0,0,3,0,5,3,3,4,5
28,0,0,3,0,0,3,0,4,5
29,0,0,3,0,5,3,0,3,3
30,0,0,3,0,0,3,3,4,5
31,0,0,3,0,5,3,3,3,5
32,0,0,3,0,0,3,3,4,5
33,0,0,3,0,0,3,3,4,5
34,0,0,3,0,0,3,0,4,5
35,0,0,3,0,5,3,0,4,3
36,0,0,3,0,0,3,0,4,5
37,0,0,3,0,0,3,3,4,5
38,0,0,3,0,5,0,4,7,1
39,0,0,3,0,5,3,0,3,3
40,0,0,3,0,5,3,0,3,3
41,0,0,3,0,5,3,0,0,3
42,0,0,3,0,5,3,0,3,3
43,0,1,1,3,3,4,0,0,7
44,0,0,3,0,5,3,0,3,3
45,0,0,3,0,5,3,0,3,3
46,0,0,3,0,5,3,0,3,3
47,0,0,3,0,5,3,0,3,3
48,0,0,3,0,5,3,3,3,5
49,0,0,3,0,5,3,3,3,5
50,0,0,3,0,5,3,3,3,3
51,0,0,3,0,5,3,3,3,5
52,0,0,3,0,5,3,3,3,5
53,0,0,3,0,0,3,3,4,5
54,0,0,3,0,5,3,0,3,3
55,0,0,3,0,5,3,3,3,5
56,0,0,3,0,5,3,0,3,3
57,0,0,3,0,5,3,3,4,5
58,0,0,3,0,5,3,3,3,5
59,1,1,2,4,3,0,6,8,2
60,1,2,2,2,2,5,6,8,2
61,1,2,2,2,2,5,6,8,2
62,0,1,2,4,3,0,4,7,1
63,0,1,1,3,3,0,4,7,1
64,1,1,2,2,2,6,2,2,6
65,0,1,2,4,3,0,4,7,1
66,0,1,1,4,3,0,4,7,1
67,0,1,2,4,3,0,4,7,1
68,1,2,2,2,2,5,6,8,2
69,0,1,1,4,3,0,4,7,0
70,1,2,2,2,2,5,6,6,9
71,0,1,1,3,3,0,4,7,1
72,0,1,2,4,3,0,4,2,1
73,0,0,1,3,0,3,0,4,5
74,0,1,1,3,3,0,4,7,1
75,1,1,2,4,2,6,4,2,1
76,0,1,2,4,3,0,4,7,1
77,1,1,2,2,2,6,2,2,6
78,0,1,2,4,3,0,4,7,0
79,0,1,1,3,3,4,5,0,7
80,0,1,2,4,3,0,4,7,1
81,0,1,1,4,3,0,4,7,1
82,0,1,2,2,2,6,2,2,6
83,1,2,0,1,1,5,7,5,4
84,0,1,1,4,3,0,4,7,1
85,0,1,2,4,3,0,4,7,1
86,1,1,2,2,2,6,2,2,6
87,0,1,2,2,2,6,2,2,6
88,1,1,2,2,2,6,2,2,6
89,0,1,2,2,2,6,2,2,6
90,1,1,2,2,2,6,2,2,6
91,1,1,2,2,2,6,2,2,6
92,1,2,2,2,2,5,2,2,6
93,0,1,1,4,3,0,4,7,7
94,0,1,1,4,3,0,4,7,1
95,0,0,1,3,0,3,0,4,0
96,1,1,2,4,4,2,4,6,0
97,0,1,2,4,3,0,4,7,1
98,0,1,1,3,3,0,4,7,1
99,0,1,1,3,3,4,5,0,7
100,0,1,2,4,3,0,4,7,1
101,0,1,2,4,3,0,4,2,1
102,0,1,1,3,3,4,5,0,7
103,0,1,2,4,3,6,4,2,1
104,0,1,2,4,3,0,4,7,1
105,1,1,2,2,2,6,2,2,6
106,0,1,2,4,3,6,4,2,1
107,1,1,2,2,2,6,2,2,6
108,0,1,2,4,3,6,4,2,1
109,0,1,1,3,3,4,5,7,7
110,0,1,1,3,3,4,5,0,7
111,0,1,1,4,3,0,4,7,1
112,1,1,2,2,2,6,2,2,6
113,0,1,2,2,2,6,2,2,6
114,0,1,2,2,2,6,2,2,6
115,0,1,2,2,2,6,2,2,6
116,0,1,2,4,3,6,4,2,1
117,0,1,2,4,3,6,4,2,1
118,1,2,0,1,1,5,7,5,4
119,0,1,2,4,3,6,5,2,7
120,0,1,1,3,3,4,5,0,7
121,0,1,1,3,0,4,5,0,7
122,1,1,1,3,2,4,5,0,7
123,0,1,1,3,3,4,5,0,7
124,0,1,1,3,3,4,5,0,7
125,0,1,1,4,3,6,5,2,7
126,0,1,1,3,3,4,5,2,7
127,1,1,2,2,2,6,2,2,6
128,0,1,2,2,2,6,5,2,6
129,1,1,2,2,2,4,5,2,7
130,1,2,0,1,4,2,6,6,9
131,1,2,0,1,4,2,1,6,9
132,1,2,0,1,4,2,1,6,9
133,1,2,0,1,4,2,1,6,9
134,1,2,0,1,1,5,6,8,2
135,1,2,0,1,1,5,6,5,4
136,1,2,0,1,1,5,7,5,4
137,1,2,0,1,1,1,7,5,4
138,1,2,0,1,1,5,7,5,4
139,1,2,0,1,1,5,7,5,4
140,1,2,0,1,1,5,7,5,4
141,1,2,0,1,1,5,7,5,9
142,1,2,0,1,1,5,7,5,4
143,1,2,0,1,1,5,7,5,4
144,1,2,0,1,4,2,1,6,9
145,1,2,0,1,1,5,7,5,4
146,1,2,0,1,1,1,7,5,4
147,1,2,0,1,1,1,7,5,4
148,1,2,0,1,1,1,1,1,8
149,1,2,0,1,4,2,1,6,9
150,1,2,0,1,4,2,1,6,9
151,1,2,0,1,4,2,1,6,9
152,1,2,0,1,4,2,1,6,9
153,1,2,0,1,1,1,1,1,8
154,1,2,0,1,1,5,6,1,8
155,1,2,0,1,1,1,7,1,4
156,1,2,0,1,1,1,1,1,8
157,1,2,0,1,1,1,7,1,4
158,1,2,0,1,1,1,1,1,8
159,1,2,0,1,1,1,1,1,8
160,1,2,0,1,1,1,7,1,4
161,1,2,0,1,1,5,7,5,4
162,1,2,0,1,1,5,7,5,4
163,1,2,0,1,1,5,7,5,9
164,1,2,0,1,1,1,1,1,8
165,1,2,0,1,1,1,7,5,4
166,1,2,0,1,1,1,1,1,8
167,1,2,0,1,1,1,1,1,8
168,1,2,0,1,1,1,1,1,8
169,1,2,0,1,4,2,1,6,9
170,1,2,0,1,1,5,7,5,9
171,1,2,0,1,1,1,1,1,8
172,1,2,0,1,1,1,1,1,8
173,1,2,0,1,1,1,7,5,4
174,1,2,0,1,1,1,1,1,4
175,1,2,0,1,1,1,1,1,8
176,1,2,0,1,1,1,1,1,8
177,1,2,0,1,1,1,1,1,8
